Date,Open,High,Low,Close,Volume
2-Jul-97,"1,592.86","1,618.15","1,590.02","1,618.15",0
3-Jul-97,"1,617.38","1,648.85","1,611.64","1,648.85",0
7-Jul-97,"1,673.89","1,698.76","1,673.89","1,691.68",0
8-Jul-97,"1,694.76","1,726.17","1,688.84","1,726.17",0
9-Jul-97,"1,727.11","1,786.05","1,710.56","1,778.51",0
10-Jul-97,"1,778.51","1,783.95","1,664.32","1,745.35",0
14-Jul-97,"1,757.12","1,794.64","1,747.35","1,794.64",0
15-Jul-97,"1,797.05","1,829.84","1,794.74","1,810.84",0
16-Jul-97,"1,808.38","1,818.16","1,803.00","1,812.78",0
17-Jul-97,"1,812.01","1,845.30","1,809.13","1,845.30",0
21-Jul-97,"1,878.73","1,930.87","1,878.25","1,912.45",0
22-Jul-97,"1,913.41","2,016.51","1,913.41","2,016.51",0
23-Jul-97,"2,019.93","2,019.93","1,955.02","1,965.72",0
24-Jul-97,"1,974.39","1,991.01","1,826.02","1,981.81",0
28-Jul-97,"2,011.25","2,038.05","1,988.50","2,025.41",0
29-Jul-97,"2,025.41","2,057.89","2,022.18","2,027.99",0
30-Jul-97,"2,029.65","2,029.65","1,989.04","2,026.83",0
31-Jul-97,"2,026.83","2,052.58","1,988.87","1,989.51",0
4-Aug-97,"1,946.77","1,950.25","1,887.64","1,887.64",0
5-Aug-97,"1,891.81","1,964.21","1,855.11","1,964.21",0
6-Aug-97,"1,968.28","2,013.66","1,968.28","2,000.13",0
7-Aug-97,"1,990.85","2,035.65","1,972.09","2,014.94",0
11-Aug-97,"2,024.69","2,039.30","1,998.27","2,002.93",0
12-Aug-97,"2,002.16","2,014.99","1,923.44","1,929.81",0
13-Aug-97,"1,924.83","1,944.28","1,890.71","1,898.27",0
18-Aug-97,"1,919.31","1,926.23","1,861.05","1,867.29",0
19-Aug-97,"1,861.14","1,870.20","1,813.70","1,835.75",0
20-Aug-97,"1,835.75","1,852.04","1,684.72","1,848.38",0
21-Aug-97,"1,848.80","1,874.98","1,848.80","1,854.66",0
26-Aug-97,"1,796.06","1,796.06","1,764.56","1,784.71",0
27-Aug-97,"1,802.04","1,817.75","1,798.91","1,800.89",0
28-Aug-97,"1,797.86","1,801.94","1,756.01","1,762.29",0
1-Sep-97,"1,745.91","1,782.58","1,696.31","1,700.82",0
2-Sep-97,"1,700.82","1,717.98","1,691.69","1,711.81",0
4-Sep-97,"1,718.87","1,782.94","1,717.88","1,782.94",0
